id,created_at,original_text,neg,neu,pos,compound
ID000060,2020-08-20,friend reached covid19 messed hustle sells makeup products figure,0.185,0.462,0.354,0.296
ID000061,2020-08-20,survey people valuing nature acces,0.0,0.625,0.375,0.34
ID000062,2020-08-20,video calls speak colleagues patients type,0.0,1.0,0.0,0.0
ID000063,2020-08-20,breaking usyd shortly statement denying heads school instructed cut fte staff levels,0.31,0.69,0.0,-0.5423
ID000064,2020-08-20,actor kim won hae tested positive covid19 contact actors seo sung jong amp heo don,0.0,0.64,0.36,0.8074
ID000065,2020-08-20,antibodies covid19 infection 29 cent sampled people latest serosurvey delhi health minister sat,0.0,1.0,0.0,0.0
ID000066,2020-08-20,tvn drama start halts filming actress seo yi sook identified contact person heo dong won,0.0,0.791,0.209,0.5719
ID000067,2020-08-20,jmpsimor evidence deadly stupidity waiting catastrophe happen people kick fuss,0.477,0.523,0.0,-0.8074
ID000068,2020-08-20,todays announcement local lockdown city aberdeen result increasing covid19 cases,0.0,1.0,0.0,0.0
ID000069,2020-08-20,covid19 testing test amp worse donald trump,0.341,0.659,0.0,-0.4767
ID000070,2020-08-20,175491 deaths covid19 spending time,0.0,1.0,0.0,0.0
ID000071,2020-08-20,positive covid19 confirmed cases jtbc building today knowing brothers filming hope eve,0.0,0.606,0.394,0.7579
ID000072,2020-08-20,dr kk talwar advises visiting hospital earliest observing symptom dr talwar ur,0.0,0.815,0.185,0.3612
ID000073,2020-08-20,qampa border control technology ease spread covid19 phocuswire,0.0,0.737,0.263,0.3612
ID000074,2020-08-20,data reuse data increase effects lab activity exp,0.0,0.753,0.247,0.3182
ID000075,2020-08-20,dont tomorrows episode learn build amazon kendra special guest,0.0,0.614,0.386,0.5267
ID000076,2020-08-20,minister covid19 positive mahaan drrpnishank cond,0.0,0.581,0.419,0.5574
ID000077,2020-08-20,governments national covid19 coordination commission nccc revealing serves australias corporate,0.0,1.0,0.0,0.0
ID000078,2020-08-20,breaking amit shah dies covid 19,0.0,1.0,0.0,0.0
ID000079,2020-08-20,tb replaced covid19,0.0,1.0,0.0,0.0
ID000080,2020-08-20,actors mentioned filming kbs dramas broadcast stations alert risi,0.0,0.784,0.216,0.296
ID000081,2020-08-20,zealand acted swiftly outbreak covid19 102 days virusfree uncle,0.0,0.784,0.216,0.296
ID000082,2020-08-20,private firm longterm associates michael gove dominic cummings handed,0.0,1.0,0.0,0.0
ID000083,2020-08-20,covid19 situation remains grim alarmingly increasing rate patients admist,0.51,0.49,0.0,-0.8074
