id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000032,2020-06-01,dear pakistanio ek chota sa reminder cases 70381 march 1938 april 14535 53908,0.0,0.822,0.178,0.3818,0.0,0.822,0.178,0.3818,0.0,0.822,0.178,0.3818,0.0,0.822,0.178,0.3818
ID000033,2020-06-01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000034,2020-06-01,parents guardians send learners school children symptoms cov,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000035,2020-06-01,nigeria center disease control announced record nigeria risen,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000036,2020-06-01,peace justice ill fully understand pain trump thi,0.369,0.232,0.399,0.1335,0.369,0.232,0.399,0.1335,0.369,0.232,0.399,0.1335,0.369,0.232,0.399,0.1335
ID000037,2020-06-01,understand consequences energy join chief energy modeller,0.0,0.385,0.615,0.6597,0.0,0.385,0.615,0.6597,0.0,0.385,0.615,0.6597,0.0,0.385,0.615,0.6597
ID000038,2020-06-01,unemployment reason wake queue lockdown,0.42,0.58,0.0,-0.4404,0.42,0.58,0.0,-0.4404,0.42,0.58,0.0,-0.4404,0.42,0.58,0.0,-0.4404
ID000039,2020-06-01,western cape department education opening schools today mam angie sai,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000040,2020-06-01,dp williamsruto journey 57 years generation grapple challenges governme,0.0,0.86,0.14,0.0772,0.0,0.86,0.14,0.0772,0.0,0.86,0.14,0.0772,0.0,0.86,0.14,0.0772
ID000041,2020-06-01,breakfast booze meal kits healthy eating postcovid19,0.0,0.69,0.31,0.4019,0.0,0.69,0.31,0.4019,0.0,0.69,0.31,0.4019,0.0,0.69,0.31,0.4019
ID000042,2020-06-01,fact instant curfews cancelling lyftuber police mobilization protests,0.381,0.619,0.0,-0.4019,0.381,0.619,0.0,-0.4019,0.381,0.619,0.0,-0.4019,0.381,0.619,0.0,-0.4019
ID000043,2020-06-01,passed 100000 deaths brutal killing george floyd people shot protests demanding ju,0.606,0.394,0.0,-0.9062,0.606,0.394,0.0,-0.9062,0.606,0.394,0.0,-0.9062,0.606,0.394,0.0,-0.9062
ID000044,2020-06-01,virtual event place june 1011 global institutions discuss,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000045,2020-06-01,market weather week drama number death toll pa,0.348,0.536,0.116,-0.5574,0.348,0.536,0.116,-0.5574,0.348,0.536,0.116,-0.5574,0.348,0.536,0.116,-0.5574
