id,created_at,original_text
ID000092,2020-06-01,join webinar 4 june focusing prevention drugrelated problems
ID000093,2020-06-01,covid19 essential estate planning package
ID000094,2020-06-01,2we urged good ambassadors stateamp partners efforts govtofimostate protecting
ID000095,2020-06-01,105000 dead covid19 17 diagnosed infected
ID000096,2020-06-01,coronavirus latest sends 2 doses hydroxychloroquine brazil pandemic killed
ID000097,2020-06-01,covid 19 uganda
ID000098,2020-06-01,elections controversial pension qualification age raising 67 years decemb
ID000099,2020-06-01,45yearold shopian covid19 patient dies jampk toll 29
ID000100,2020-06-01,nygovcuomo isnt fly protestors busines
ID000101,2020-06-01,hard working riders stay late night earning difficult living services 70 imp
ID000102,2020-06-01,telanganacmo sir covid 19 advisory relaxation pregnant women 72 kindly advisory
ID000103,2020-06-01,unions slam telkoms treachery putting job cuts table covid19 battle
ID000104,2020-06-01,dr maria rosario vergeire spokesperson doh invites dr troy gepte discuss breakdown fresh
ID000105,2020-06-01,70most countries cases covid19 experiencing outbreaks war
ID000106,2020-06-01,official reports sink german govt global false alarm died died dani
ID000107,2020-06-01,indias seva shakti visible fight covid19
ID000108,2020-06-01,conrad hilton hotel spanish flu pandemic including making guests clean
ID000109,2020-06-01,truth covid19 emergency leave people increased risk domestic abuse government provide pr
ID000110,2020-06-01,community transmission coronavirus infection wellestablished large sections subpopulations country
ID000111,2020-06-01,hydroxychloroquine cautionary tale drdavidliew dr 1darren1dmr amp prof catherinelhill write
ID000112,2020-06-01,creating fame cost lives students conducting final year exams inspite exponentially rising covid19
ID000113,2020-06-01,scotlands dementia awareness week june lifechangestrst focusing fabulous work
ID000114,2020-06-01,slas announces covid19 hardship fund pg ecr members deadline applications 19 june informati
ID000115,2020-06-01,fg special fund cushion covid19 festus keyamo minister labour
ID000116,2020-06-01,kudos mumbaipyc general secretary mla zeeshaniyc donated 1000 certified ppe kits modular hospital mumbai
ID000117,2020-06-01,rise pension age cards cost covid19
ID000118,2020-06-01,covid19 lockdown parents concerned plans reopen schools 2 lakh petition govt ht
ID000119,2020-06-01,weve launched dedicated uk data service theme plenty resources check
ID000120,2020-06-01,covid19 men latest info covid community mens covid19 stories
ID000121,2020-06-01,father driver servants son servant sohinichats searing piece naukar indian cinema htt
ID000122,2020-06-01,diamondandsilk rara 2020 update covid19 protest guidelines washington dc mayor bowser curre
ID000123,2020-06-01,sohinichat writes hindi movies romanticisation domestic distant truth actual reality
ID000124,2020-06-01,mec thabo mokone arrives seshego circle complex monitor compliance covid19 regulations
ID000125,2020-06-01,covid19 deaths happened blue cities rioting happened blue cities living democr
ID000126,2020-06-01,covid19 govt urged roll ict program address job losses businessghana
ID000127,2020-06-01,effects people severe amp mild study nyu algorithms predic
ID000128,2020-06-01,shanti foundation distributes thousands ration bags needy covid19 crisis
ID000129,2020-06-01,health min approves single repository medical records citizens modelled national digital health blueprint
ID000130,2020-06-01,truck drivers local global food supply chains afloat read
ID000131,2020-06-01,latest nassau coronavirus update catch happened day gt
ID000132,2020-06-01,photographer teamed christiesinc auction 25 portraits covid19 relief includi
ID000133,2020-06-01,clinical tips check health regrading covid 19 frm pak physician association 1
ID000134,2020-06-01,nedbank covid 19 expect deliver cards card expired stand
ID000135,2020-06-01,ajay devgn secret contribution covid19 hospital dharavi ajaydevgn
ID000136,2020-06-01,
ID000137,2020-06-01,breaking hong kong police ban annual tiananmen vigil time 30 years citing covid19 measures
ID000138,2020-06-01,happy team london week sharing remote volunteering opportunities ap
ID000139,2020-06-01,insightpartners mentioning report digital adoption platform market forecast 2027
ID000140,2020-06-01,matthancock 200k wife intensive care nurse caring covid 19 patients daily basis 12 wee
ID000141,2020-06-01,emerging governance issues covid19
ID000142,2020-06-01,watch realtime simulation social distancing beach works covid19
ID000143,2020-06-01,krg interior ministry announces 6day lockdown kurdistan region 6 pm monday june 1
ID000144,2020-06-01,pavantimma45 jagdishshetty swamy39 vhs debashsis basu opined india corona virus
ID000145,2020-06-01,covid19 support fund uk insurance longterm savings industry uk uk insurance longterm savi
ID000146,2020-06-01,doctors worldclass dedicated covid19 facility ahmedabad civil hospital share experience treating
ID000147,2020-06-01,scared covid19 riots scared china amp india threatening war recession
ID000148,2020-06-01,covid19 russia approving japanese covid19 drug roll game changer week
ID000149,2020-06-01,parody gov reportedly counting saliva amp nasal samples patient 2 tests artif
ID000150,2020-06-01,mild illnesses include cases common cold caused viruses predomin
ID000151,2020-06-01,70most countries cases covid19 experiencing outbreak
ID000152,2020-06-01,south african president cyril ramaphosa pandemic presented country opportunities
ID000153,2020-06-01,51our medical staff trained recognize patients covid19 virus fr
ID000154,2020-06-01,economy big lost covid19 pray rid pandemic vi
ID000155,2020-06-01,kp minister shaukat yousafzai flouts governments social distancing guidelines covid19 sops
ID000156,2020-06-01,emailed tweeted called lied hung hsbcukbusiness hsbc hsbcuk
ID000157,2020-06-01,photo leading twitters covid19 news meenalsworld
